 bin, src_frequency, ref_frequency, adjusted_frequency
0, 22506, 31005, 33084
1, 22622, 30173, 34018
2, 24968, 29773, 34257
3, 29149, 30749, 35170
4, 32983, 31383, 36961
5, 33086, 32824, 38321
6, 30883, 34530, 40859
7, 30118, 36994, 41015
8, 29573, 37459, 42851
9, 29662, 38350, 42446
10, 30093, 38595, 42839
11, 31153, 38927, 41473
12, 32238, 37673, 41396
13, 33294, 37161, 41001
14, 34727, 36909, 41616
15, 36452, 38005, 42694
16, 38601, 38377, 42988
17, 40663, 39236, 43724
18, 44292, 39790, 45199
19, 48561, 41750, 46263
20, 53473, 41288, 47200
21, 59925, 42167, 48389
22, 68370, 43857, 51565
23, 78902, 46266, 51026
24, 88497, 46707, 54294
25, 95262, 48774, 57077
26, 100025, 51610, 61900
27, 101270, 56524, 66005
28, 100415, 59846, 71452
29, 99074, 64524, 74540
30, 96228, 68270, 80153
31, 94023, 72629, 79520
32, 92565, 72530, 81469
33, 90942, 74424, 84297
34, 92686, 75655, 85392
35, 97902, 77922, 81546
36, 107398, 74078, 79775
37, 110148, 71321, 75939
38, 98384, 67794, 71655
39, 75502, 64517, 68048
40, 53127, 59239, 62682
41, 38579, 56035, 62654
42, 31433, 54200, 61044
43, 27278, 54140, 59184
44, 25059, 53801, 62015
45, 23597, 59024, 72203
46, 23003, 69187, 86978
47, 22143, 84336, 96279
48, 21744, 88529, 96246
49, 21057, 86216, 87566
50, 20771, 75435, 74947
51, 20381, 63074, 59383
52, 19700, 47529, 44425
53, 19060, 35725, 33076
54, 18659, 26273, 25561
55, 18188, 19817, 17153
56, 17746, 14222, 15069
57, 17264, 10944, 9036
58, 17111, 8567, 8415
59, 16350, 7139, 8153
60, 15970, 5888, 7190
61, 15850, 5138, 4380
62, 15406, 4438, 4165
63, 15210, 4141, 3932
64, 14633, 3557, 3892
65, 14798, 3392, 3732
66, 14226, 3054, 3627
67, 14103, 2930, 3560
68, 13833, 2580, 3488
69, 13578, 2435, 2054
70, 13273, 2320, 1094
71, 13072, 2206, 1001
72, 12705, 2052, 1067
73, 12361, 1844, 1023
74, 12236, 1786, 1068
75, 11893, 1707, 946
76, 11726, 1523, 1045
77, 11135, 1317, 1063
78, 10963, 1312, 1084
79, 10775, 1247, 1047
80, 10376, 1133, 1054
81, 9828, 1072, 1066
82, 9531, 1035, 1017
83, 8872, 986, 989
84, 8599, 844, 1063
85, 8018, 719, 1097
86, 7759, 709, 1041
87, 7284, 705, 1061
