# Label Name RGB Alpha
# Detailed description about color table at
# http://www.slicer.org/slicerWiki/index.php/Documentation/4.0/Modules/Colors
# Regina Kim
4 3rd_Ventricle 204 182 142 255
11 4th_Ventricle 42 204 164 255
15 5th_Ventricle 120 190 150 255
33 Basal_Forebrain 255 255 255 255
35 Brain_Stem 119 159 176 255
46 CSF 60 60 60 255
99 CYAN 0 255 255 255
71 Cerebellar_Vermal_Lobules_I-V 184 237 194 255
72 Cerebellar_Vermal_Lobules_VI-VII 180 231 250 255
73 Cerebellar_Vermal_Lobules_VIII-X 225 183 231 255
13 Heschls 173 216 230 255
101 Left_ACgG_anterior_cingulate_gyrus 255 62 150 255
103 Left_AIns_anterior_insula 160 82 45 255
105 Left_AOrG_anterior_orbital_gyrus 165 42 42 255
30 Left_Accumbens_Area 255 165 0 255
32 Left_Amygdala 103 255 255 255
107 Left_AnG_angular_gyrus 205 91 69 255
75 Left_Basal_Forebrain 180 180 180 255
113 Left_CO_central_operculum 135 206 235 255
109 Left_Calc_calcarine_cortex 100 149 237 255
37 Left_Caudate 122 186 220 255
39 Left_Cerebellum_Exterior 96 204 96 255
41 Left_Cerebellum_White_Matter 220 248 164 255
43 Left_Cerebral_Exterior 205 62 78 255
45 Left_Cerebral_White_Matter 225 225 225 255
111 Left_CgG_cingulate_gyrus 100 50 100 255
115 Left_Cun_cuneus 250 128 114 255
117 Left_Ent_entorhinal_area 255 255 0 255
119 Left_FO_frontal_operculum 221 160 221 255
121 Left_FRP_frontal_pole 0 238 0 255
123 Left_FuG_fusiform_gyrus 205 92 92 255
125 Left_GRe_gyrus_rectus 176 48 96 255
48 Left_Hippocampus 220 216 20 255
129 Left_IOG_inferior_occipital_gyrus 152 251 152 255
131 Left_IOrG_intermediate_orbital_gyrus 255 0 255 255
133 Left_ITG_inferior_temporal_gyrus 50 205 50 255
50 Left_Inf_Lat_Vent 196 58 250 255
65 Left_Insula 80 196 98 255
137 Left_LOrG_lateral_orbital_gyrus 173 216 230 255
52 Left_Lateral_Ventricle 120 18 134 255
54 Left_Lesion 255 165 0 255
135 Left_LiG_lingual_gyrus 0 100 0 255
139 Left_MCgG_middle_cingulate_gyrus 153 50 204 255
141 Left_MFC_medial_frontal_cortex 160 32 240 255
143 Left_MFG_middle_frontal_gyrus 0 206 209 255
145 Left_MOG_middle_occipital_gyrus 51 50 135 255
147 Left_MOrG_medial_orbital_gyrus 173 255 47 255
149 Left_MPoG_postcentral_gyrus_medial_segment 122 135 50 255
151 Left_MPrG_precentral_gyrus_medial_segment 135 50 74 255
153 Left_MSFG_superior_frontal_gyrus_medial_segment 218 112 214 255
155 Left_MTG_middle_temporal_gyrus 240 230 140 255
157 Left_OCP_occipital_pole 255 255 0 255
159 Left_OFC_orbitofrontal_cortex 255 110 180 255
161 Left_OFuG_occipital_fusiform_gyrus 0 255 255 255
163 Left_OpIFG_opercular_part_of_the_inferior_frontal_gyrus 100 50 100 255
67 Left_Operculum 60 58 210 255
165 Left_OrIFG_orbital_part_of_the_inferior_frontal_gyrus 178 34 34 255
167 Left_PCgG_posterior_cingulate_gyrus 255 0 255 255
169 Left_PCu_precuneus 39 64 139 255
171 Left_PHG_parahippocampal_gyrus 255 99 71 255
173 Left_PIns_posterior_insula 255 69 0 255
175 Left_PO_parietal_operculum 210 180 140 255
179 Left_POrG_posterior_orbital_gyrus 74 155 60 255
181 Left_PP_planum_polare 255 215 0 255
185 Left_PT_planum_temporale 46 139 87 255
56 Left_Pallidum 12 48 255 255
177 Left_PoG_postcentral_gyrus 0 255 127 255
183 Left_PrG_precentral_gyrus 238 0 0 255
58 Left_Putamen 236 13 176 255
187 Left_SCA_subcallosal_area 238 201 0 255
189 Left_SCLC_supracalcarine_cortex 102 205 170 255
191 Left_SFG_superior_frontal_gyrus 255 218 185 255
193 Left_SMC_supplementary_motor_cortex 238 130 238 255
195 Left_SMG_supramarginal_gyrus 255 165 0 255
197 Left_SOG_superior_occipital_gyrus 255 192 203 255
199 Left_SPL_superior_parietal_lobule 245 222 179 255
201 Left_STG_superior_temporal_gyrus 208 32 144 255
203 Left_TMP_temporal_pole 34 139 34 255
207 Left_TTG_transverse_temporal_gyrus 0 0 128 255
60 Left_Thalamus_Proper 0 118 14 255
205 Left_TrIFG_triangular_part_of_the_inferior_frontal_gyrus 127 255 212 255
62 Left_Ventral_DC 165 42 42 255
64 Left_vessel 160 32 240 255
69 Optic_Chiasm 255 255 255 255
97 RED 255 0 0 255
100 Right_ACgG_anterior_cingulate_gyrus 255 62 150 255
102 Right_AIns_anterior_insula 160 82 45 255
104 Right_AOrG_anterior_orbital_gyrus 165 42 42 255
23 Right_Accumbens_Area 255 165 0 255
31 Right_Amygdala 103 255 255 255
106 Right_AnG_angular_gyrus 205 91 69 255
76 Right_Basal_Forebrain 180 180 180 255
112 Right_CO_central_operculum 135 206 235 255
108 Right_Calc_calcarine_cortex 100 149 237 255
