No.,Label,Left,Right
0,Unknown,0,0
1,Left-Cerebral-Exterior,1,0
2,Left-Cerebral-White-Matter,1,0
3,Left-Cerebral-Cortex,1,0
4,Left-Lateral-Ventricle,1,0
5,Left-Inf-Lat-Vent,1,0
6,Left-Cerebellum-Exterior,1,0
7,Left-Cerebellum-White-Matter,1,0
8,Left-Cerebellum-Cortex,1,0
9,Left-Thalamus,1,0
10,Left-Thalamus-Proper,1,0
11,Left-Caudate,1,0
12,Left-Putamen,1,0
13,Left-Pallidum,1,0
14,3rd-Ventricle,0,0
15,4th-Ventricle,0,0
16,Brain-Stem,0,0
17,Left-Hippocampus,1,0
18,Left-Amygdala,1,0
19,Left-Insula,1,0
20,Left-Operculum,1,0
21,Line-1,0,0
22,Line-2,0,0
23,Line-3,0,0
24,CSF,0,0
25,Left-Lesion,1,0
26,Left-Accumbens-area,1,0
27,Left-Substancia-Nigra,1,0
28,Left-VentralDC,1,0
29,Left-undetermined,1,0
30,Left-vessel,1,0
31,Left-choroid-plexus,1,0
32,Left-F3orb,1,0
33,Left-lOg,1,0
34,Left-aOg,1,0
35,Left-mOg,1,0
36,Left-pOg,1,0
37,Left-Stellate,1,0
38,Left-Porg,1,0
39,Left-Aorg,1,0
40,Right-Cerebral-Exterior,0,1
41,Right-Cerebral-White-Matter,0,1
42,Right-Cerebral-Cortex,0,1
43,Right-Lateral-Ventricle,0,1
44,Right-Inf-Lat-Vent,0,1
45,Right-Cerebellum-Exterior,0,1
46,Right-Cerebellum-White-Matter,0,1
47,Right-Cerebellum-Cortex,0,1
48,Right-Thalamus,0,1
49,Right-Thalamus-Proper,0,1
50,Right-Caudate,0,1
51,Right-Putamen,0,1
52,Right-Pallidum,0,1
53,Right-Hippocampus,0,1
54,Right-Amygdala,0,1
55,Right-Insula,0,1
56,Right-Operculum,0,1
57,Right-Lesion,0,1
58,Right-Accumbens-area,0,1
59,Right-Substancia-Nigra,0,1
60,Right-VentralDC,0,1
61,Right-undetermined,0,1
62,Right-vessel,0,1
63,Right-choroid-plexus,0,1
64,Right-F3orb,0,1
65,Right-lOg,0,1
66,Right-aOg,0,1
67,Right-mOg,0,1
68,Right-pOg,0,1
69,Right-Stellate,0,1
70,Right-Porg,0,1
71,Right-Aorg,0,1
72,5th-Ventricle,0,0
73,Left-Interior,1,0
74,Right-Interior,0,1
77,WM-hypointensities,0,0
78,Left-WM-hypointensities,1,0
79,Right-WM-hypointensities,0,1
80,non-WM-hypointensities,0,0
81,Left-non-WM-hypointensities,1,0
